Location,Fuel_Type,Transmission,Owner_Type,Seats,Price,mileage_new,engine_new,power_new,age,make,model,KM_Driven
Mumbai,Diesel,Manual,First,5,10.5,22.1,1396,88.7,2,hyundai,creta,13
Kochi,Petrol,Automatic,First,5,3.48,16.95,1197,78.9,8,hyundai,i10,45
Coimbatore,Petrol,Automatic,Second,5,6.46,16.5,1198,86.8,4,honda,brio,37
Jaipur,Diesel,Manual,First,5,3.75,22.9,1248,74,8,maruti,swift,95
Pune,Petrol,Manual,First,5,4.5,17.57,1193,88.7,3,tata,zest,70
Kochi,Petrol,Manual,First,5,4.82,18,1198,86.7,4,honda,amaze,54
Hyderabad,Diesel,Manual,First,5,2.8,20,1399,68,8,ford,figo,70
Jaipur,Diesel,Manual,First,5,3.11,23.2,1248,73.94,7,maruti,ritz,99
Pune,Petrol,Manual,First,5,2.25,20.36,1197,78.9,11,hyundai,i10,95
Bangalore,Petrol,Manual,First,5,5.75,18.9,1197,82,4,hyundai,grand,16
Mumbai,Petrol,Manual,First,5,5,17.8,1198,86.7,4,honda,amaze,18
Delhi,Diesel,Manual,First,5,5.5,22.7,1498,89.84,7,ford,ecosport,57
Kolkata,Diesel,Manual,First,5,3.5,25.8,1498,98.6,5,honda,amaze,30
Kolkata,Diesel,Manual,First,5,2.79,22.07,1199,73.9,7,volkswagen,polo,34
Bangalore,Petrol,Manual,First,5,4.45,18.9,998,67.1,4,maruti,wagon,62
Pune,Diesel,Manual,Second,5,3.8,23,1396,90,9,hyundai,i20,78
Mumbai,Petrol,Manual,First,5,4.65,18.5,1197,82.85,6,hyundai,i20,30
Pune,Petrol,Manual,First,7,3.95,19.83,1198,67,3,datsun,go,32
Pune,Petrol,Manual,Second,5,2.7,17,1197,80,11,hyundai,i20,66
Coimbatore,Petrol,Manual,First,5,2.41,14,796,35,10,maruti,omni,93
Ahmedabad,Petrol,Manual,First,5,3.9,17.71,1197,78.9,6,toyota,etios,53
Coimbatore,Petrol,Manual,First,5,3.91,15.1,1196,73,3,maruti,eeco,38
Bangalore,Petrol,Manual,First,4,2.15,25.4,624,37.5,6,tata,nano,25
Coimbatore,Petrol,Automatic,First,5,6.55,19.15,1198,75.94,4,nissan,micra,39
Mumbai,Diesel,Manual,First,5,7.5,24.3,1248,88.5,4,maruti,vitara,55
Pune,Petrol,Manual,First,5,2.45,18.9,998,67.1,9,maruti,wagon,43
Coimbatore,Petrol,Automatic,First,4,3.23,21.9,624,37.48,3,tata,nano,32
Kochi,Petrol,Manual,First,5,7.47,20.73,1373,91.1,3,maruti,ciaz,44
Coimbatore,Petrol,Manual,First,5,5.81,21.1,1197,85.8,4,maruti,ritz,30
Hyderabad,Petrol,Manual,First,5,2.6,24.07,998,67.1,6,maruti,alto,88
Chennai,Petrol,Manual,Second,5,1.6,19.7,796,46.3,10,maruti,alto,94
Mumbai,Petrol,Automatic,First,5,6,19,1199,88.7,5,honda,jazz,12
Kolkata,Diesel,Manual,First,5,3.7,25.8,1498,98.6,6,honda,amaze,45
Kochi,Petrol,Manual,First,5,5.43,22,1197,81.8,4,maruti,swift,34
Pune,Petrol,Manual,First,5,2.85,18.6,1199,76.8,6,chevrolet,beat,38
Kochi,Petrol,Manual,First,5,9.9,20.73,1373,91.1,2,maruti,ciaz,41
Chennai,Diesel,Manual,First,5,6.25,22.9,1248,74,4,maruti,swift,35
Kochi,Petrol,Manual,First,5,4.23,21.1,814,55.2,1,hyundai,eon,14
Jaipur,Diesel,Manual,First,5,3.5,22.07,1199,73.9,8,volkswagen,polo,65
Kolkata,Petrol,Manual,First,5,2.5,20.63,1198,67.06,4,datsun,go,6
Kolkata,Petrol,Manual,First,5,2.39,19.4,1198,86.8,7,honda,brio,33
Kochi,Diesel,Manual,First,5,7.11,26,1498,98.6,5,honda,city,42
Ahmedabad,Petrol,Manual,First,5,6.2,20.4,1197,81.8,3,maruti,swift,24
Kochi,Diesel,Manual,First,5,4.42,22.7,1498,89.84,6,ford,ecosport,147
Jaipur,Diesel,Manual,Second,5,2.1,20,1399,68,10,ford,figo,66
Bangalore,Petrol,Manual,Second,5,3.65,19.4,1198,86.8,8,honda,brio,45
Delhi,Petrol,Manual,First,5,2.75,20.36,1197,78.9,7,hyundai,i10,60
Kolkata,Petrol,Manual,First,5,6.5,18.9,1197,81.86,1,hyundai,grand,1
Bangalore,Diesel,Manual,First,5,8.35,22.54,1396,88.73,6,hyundai,i20,29
Jaipur,Diesel,Manual,First,5,1.5,25.44,936,57.6,8,chevrolet,beat,88
Hyderabad,Diesel,Manual,First,5,4.2,22.07,1199,73.9,8,volkswagen,polo,63
Kochi,Petrol,Manual,First,5,7.5,21.4,1197,83.1,3,maruti,baleno,24
Kochi,Petrol,Manual,First,5,4.04,19.81,1086,68.05,3,hyundai,i10,52
Chennai,Diesel,Manual,First,5,2.6,20,1399,68,10,ford,figo,120
Mumbai,Diesel,Manual,First,7,8.5,25.47,1248,88.5,4,maruti,ertiga,33
Kolkata,Diesel,Manual,First,5,3.5,25.8,1498,98.6,6,honda,amaze,52
Jaipur,Petrol,Manual,First,5,3.55,20.36,1197,78.9,5,hyundai,i10,43
Kolkata,Diesel,Manual,First,5,3.25,25.8,1498,98.6,7,honda,amaze,50
Delhi,Diesel,Manual,First,5,5.35,19.87,1461,83.8,6,renault,duster,90
Chennai,Diesel,Manual,Second,7,6.5,17.45,1493,100,3,mahindra,nuvosport,29
Mumbai,Diesel,Manual,First,5,9,24.3,1248,88.5,4,maruti,vitara,20
Kochi,Petrol,Manual,First,5,6,18.6,1197,81.83,4,hyundai,i20,61
Jaipur,Petrol,Manual,First,5,2.75,14.7,1390,85,11,skoda,fabia,87
Pune,Petrol,Manual,First,5,1.5,15.64,1193,64.1,10,tata,indigo,70
Delhi,Diesel,Manual,First,5,3,23.59,1364,67.06,6,toyota,etios,104
Kolkata,Diesel,Manual,First,5,3.25,27.4,1498,98.6,7,honda,amaze,45
Mumbai,Diesel,Manual,First,5,5.95,20.46,1461,83.8,6,renault,duster,30
Mumbai,Petrol,Automatic,First,5,4.22,20.51,998,67,4,maruti,wagon,8
Pune,Petrol,Manual,Second,5,2.9,19.81,1086,68.05,8,hyundai,i10,44
Coimbatore,Petrol,Manual,First,5,8.22,17.19,1197,81.86,2,hyundai,i20,25
Kolkata,Diesel,Manual,Second,5,3.5,25.8,1498,98.6,6,honda,amaze,64
Chennai,Petrol,Manual,Second,5,1.25,18.9,998,67.1,16,maruti,wagon,61
Hyderabad,Diesel,Manual,First,5,3.7,21.03,1461,65,7,mahindra,verito,107
Kolkata,Petrol,Manual,First,5,2.65,22.5,998,67.04,7,maruti,wagon,32
Kochi,Petrol,Manual,Second,5,3.32,18.6,1199,76.8,4,chevrolet,beat,60
Mumbai,Diesel,Manual,First,5,3.6,22.07,1199,73.9,8,volkswagen,polo,45
Hyderabad,Diesel,Manual,First,5,6.8,22.9,1248,74,4,maruti,swift,64
Kolkata,Diesel,Manual,First,5,2.5,20,1399,68.05,8,ford,figo,41
Kochi,Petrol,Manual,First,5,6.27,18.6,1197,81.83,2,hyundai,i20,14
Mumbai,Diesel,Manual,First,5,2.65,25.44,936,57.6,7,chevrolet,beat,74
Kochi,Diesel,Manual,First,5,7.2,22.54,1396,88.73,5,hyundai,i20,56
Chennai,Diesel,Manual,First,7,6.9,20.77,1248,88.76,7,maruti,ertiga,52
Mumbai,Diesel,Manual,First,5,4.75,24,1120,70,3,hyundai,grand,33
Chennai,Diesel,Manual,First,5,8.45,28.09,1248,88.5,4,maruti,ciaz,34
Kochi,Diesel,Manual,First,5,1.8,13.1,1493,82,14,hyundai,accent,160
Coimbatore,Petrol,Manual,First,5,7.17,18.7,1199,88.7,3,honda,jazz,49
Jaipur,Petrol,Manual,First,5,1.75,19.81,1086,68.05,10,hyundai,i10,83
Jaipur,Petrol,Manual,Third,5,1.85,19.7,796,35,9,maruti,omni,35
Coimbatore,Petrol,Manual,Second,5,5.95,20.4,1197,81.8,3,maruti,swift,27
Mumbai,Petrol,Manual,First,5,3.75,18.9,1197,82,6,hyundai,grand,16
Pune,Diesel,Manual,First,5,3.75,22.9,1248,74,8,maruti,swift,120
Mumbai,Petrol,Manual,First,5,2.8,17,1197,80,10,hyundai,i20,52
Hyderabad,Diesel,Manual,First,5,4.35,23.2,1248,73.94,6,maruti,ritz,88
Pune,Petrol,Manual,First,5,2,19,998,66.1,10,maruti,a-star,67
Delhi,Diesel,Manual,First,5,1.65,17.8,1248,76,10,fiat,grande,120
Bangalore,Petrol,Manual,Second,5,3.25,20.36,1197,78.9,10,hyundai,i10,36
Mumbai,Petrol,Manual,Third,5,0.55,17.3,993,60,18,maruti,zen,60
Hyderabad,Diesel,Manual,First,5,7.15,28.4,1248,74,2,maruti,swift,31
Pune,Diesel,Manual,First,5,3.75,22.95,1248,74,3,tata,zest,121
Jaipur,Diesel,Manual,First,5,4.35,23.4,1248,74,8,maruti,swift,73
Kochi,Petrol,Manual,First,5,3.26,22.74,796,47.3,4,maruti,alto,32
Kolkata,Diesel,Manual,First,5,3.11,21.9,1396,88.8,7,hyundai,i20,46
Coimbatore,Petrol,Automatic,First,5,5.96,15,1396,98.6,6,hyundai,i20,45
Pune,Diesel,Manual,First,5,5.25,22.95,1248,74,2,tata,zest,45
Delhi,Petrol,Manual,First,5,1.35,18.9,1061,67,11,maruti,wagon,60
Delhi,Petrol,Manual,First,5,4.85,18.2,1199,88.7,5,honda,jazz,62
Hyderabad,Petrol,Manual,First,5,3.1,20.36,1197,78.9,10,hyundai,i10,74
Pune,Petrol,Manual,First,5,2.8,20.36,1197,78.9,8,hyundai,i10,45
Mumbai,Petrol,Manual,First,5,3.89,16.47,1198,73.9,5,volkswagen,polo,31
Hyderabad,Petrol,Manual,First,5,2.1,20.92,998,67.1,9,maruti,alto,70
Coimbatore,Diesel,Manual,First,5,2.58,17,1405,70,7,tata,indigo,59
Hyderabad,Petrol,Automatic,First,5,4.25,23.1,998,67.04,6,maruti,celerio,77
Hyderabad,Petrol,Manual,First,5,2.05,14,796,35,8,maruti,omni,71
Kochi,Petrol,Manual,First,5,3.13,18.5,1198,86.8,8,honda,brio,91
Hyderabad,Diesel,Manual,Second,7,1.5,14.07,2956,83.1,20,tata,sumo,158
Pune,Diesel,Manual,First,5,2.85,18,1248,75,8,tata,indica,91
Delhi,Petrol,Manual,First,5,2.65,18.9,998,67.1,8,maruti,wagon,65
Pune,Diesel,Manual,Second,5,1.25,17.1,1396,70,12,tata,indigo,138
Mumbai,Petrol,Manual,First,7,8.25,16.02,1373,93.7,2,maruti,ertiga,18
Kolkata,Diesel,Manual,First,5,3.7,19.3,1248,73.9,8,maruti,swift,48
Hyderabad,Diesel,Manual,First,5,2.8,17.8,1399,68,11,ford,fiesta,160
Kolkata,Petrol,Manual,First,5,1.8,17.7,1497,78,12,honda,city,40
Pune,Diesel,Manual,First,5,5.5,23,1396,90,8,hyundai,i20,83
Bangalore,Petrol,Automatic,Third,5,2.95,16.95,1197,78.9,11,hyundai,i10,37
Kochi,Petrol,Automatic,First,5,6.86,19,1199,88.7,4,honda,jazz,28
Hyderabad,Diesel,Manual,First,5,6.15,25.2,1248,74,5,maruti,swift,76
Pune,Petrol,Manual,Second,5,3.3,18.5,1197,82.85,9,hyundai,i20,79
Kolkata,Petrol,Manual,First,5,2.55,16.47,1198,73.9,9,volkswagen,polo,32
Ahmedabad,Petrol,Manual,First,5,1.5,19.7,796,46.3,11,maruti,alto,35
Chennai,Petrol,Manual,Second,5,1.4,19.7,796,46.3,14,maruti,alto,56
Pune,Diesel,Manual,First,5,3.4,21.12,1248,88.8,8,tata,manza,73
Pune,Petrol,Manual,First,5,2.25,19.7,796,46.3,8,maruti,alto,38
Coimbatore,Petrol,Manual,First,5,7.66,18.6,1197,81.83,4,hyundai,i20,24
Chennai,Diesel,Manual,First,5,7.15,24.3,1248,88.5,4,maruti,vitara,45
Hyderabad,Diesel,Manual,Second,5,3.5,18,1248,75,6,tata,indica,133
Kolkata,Diesel,Manual,First,5,3.45,25.8,1498,98.6,7,honda,amaze,57
Coimbatore,Petrol,Manual,First,5,3.55,21.1,814,55.2,4,hyundai,eon,27
Ahmedabad,Diesel,Manual,First,5,2.9,21.02,1248,88.8,7,tata,manza,47
Pune,Petrol,Manual,First,5,3.75,24.07,998,67.1,3,maruti,alto,30
Mumbai,Diesel,Manual,First,5,6.75,22.7,1498,89.84,6,ford,ecosport,68
Kolkata,Petrol,Manual,Second,5,0.95,18,995,62,9,chevrolet,spark,21
Delhi,Diesel,Manual,First,5,3.5,22.9,1248,74,7,maruti,swift,70
Mumbai,Petrol,Automatic,First,5,6.2,18.5,1197,83.14,4,maruti,swift,18
Chennai,Diesel,Manual,First,5,2.75,23.08,1461,63.1,9,nissan,micra,83
Mumbai,Diesel,Manual,First,5,3.25,23.4,1248,74,5,maruti,swift,130
Pune,Diesel,Manual,First,5,3.25,17.8,1399,67,8,ford,fiesta,63
Kolkata,Petrol,Manual,First,5,0.65,17.3,993,60,17,maruti,zen,65
Kolkata,Diesel,Manual,First,5,3.25,23.59,1364,67.05,6,toyota,etios,45
Kolkata,Petrol,Manual,First,5,2.9,24.7,796,47.3,2,maruti,alto,26
Bangalore,Petrol,Manual,Third,5,2.9,18.9,796,47,9,maruti,alto,11
Coimbatore,Petrol,Automatic,First,5,5.77,18.9,1197,82,5,hyundai,grand,37
Hyderabad,Diesel,Manual,First,5,9.49,24.3,1248,88.5,3,maruti,vitara,39
Chennai,Petrol,Manual,Third,4,1,16.1,796,37,13,maruti,800,72
Chennai,Diesel,Manual,Second,5,7.1,20.45,1461,83.8,5,renault,duster,93
Hyderabad,Diesel,Manual,Second,5,3.2,21.1,1248,73.9,10,maruti,ritz,68
Kochi,Diesel,Manual,First,5,4,24.4,1120,71,5,hyundai,xcent,74
Delhi,Petrol,Manual,First,5,4.65,18,1198,86.7,5,honda,amaze,52
Chennai,Petrol,Manual,First,5,3.25,21.1,814,55.2,6,hyundai,eon,37
Kolkata,Petrol,Manual,First,5,3.1,20.51,998,67.04,6,maruti,wagon,17
Coimbatore,Diesel,Manual,First,5,3.91,21.1,1248,73.9,9,maruti,ritz,90
Jaipur,Petrol,Manual,First,5,0.92,19.7,796,46.3,10,maruti,alto,125
Pune,Petrol,Manual,First,5,2.75,14,1061,64,7,maruti,wagon,53
Pune,Petrol,Manual,First,5,0.8,13.2,1495,94,15,hyundai,accent,5
Jaipur,Petrol,Manual,First,5,6.9,17.19,1197,81.86,3,hyundai,i20,40
Kolkata,Petrol,Manual,Second,5,2.25,21.1,814,55.2,5,hyundai,eon,20
Kochi,Petrol,Manual,First,5,5.5,18.9,1197,81.86,2,hyundai,grand,40
Mumbai,Petrol,Manual,First,5,4.35,13,1493,100,7,honda,city,52
Kolkata,Petrol,Manual,First,5,2.25,16.47,1198,73.9,10,volkswagen,polo,55
Bangalore,Diesel,Manual,First,5,5.75,23.59,1364,67.04,7,toyota,etios,37
Delhi,Petrol,Manual,Second,5,3.2,19.4,1198,86.8,6,honda,brio,30
Coimbatore,Petrol,Automatic,First,5,9.89,21.4,1197,83.1,2,maruti,baleno,12
Kochi,Petrol,Manual,First,5,4.06,21.1,814,55.2,2,hyundai,eon,13
Kochi,Petrol,Manual,First,5,3.74,22.74,796,47.3,4,maruti,alto,34
Ahmedabad,Petrol,Manual,First,5,1.45,18.9,998,67.1,13,maruti,wagon,55
Kolkata,Petrol,Manual,First,5,2,17.7,1497,78,12,honda,city,40
Kolkata,Petrol,Manual,First,8,3.75,13.7,1399,98.79,6,chevrolet,enjoy,15
Coimbatore,Diesel,Manual,First,7,7.7,15.96,2523,62.1,4,mahindra,bolero,82
Hyderabad,Petrol,Manual,First,5,2.6,21.1,814,55.2,6,hyundai,eon,20
Hyderabad,Diesel,Manual,First,5,2.5,22.3,1248,74,6,tata,indica,67
Coimbatore,Petrol,Manual,First,5,7.98,18.6,1197,81.83,3,hyundai,i20,26
Chennai,Petrol,Manual,Second,5,2.25,18.5,1197,85.8,9,maruti,ritz,67
Hyderabad,Diesel,Manual,First,5,3.5,27.62,793,47,4,maruti,celerio,80
Delhi,Diesel,Manual,First,5,8.92,25.1,1248,88.5,2,maruti,s-cross,12
Pune,Petrol,Manual,First,5,7.2,18.6,1197,81.83,4,hyundai,i20,6
Pune,Diesel,Manual,First,5,5.25,24.4,1120,71,4,hyundai,xcent,51
Delhi,Diesel,Manual,First,5,6.5,22.7,1498,89.84,6,ford,ecosport,31
Hyderabad,Petrol,Manual,First,5,4.4,16.47,1198,73.9,7,volkswagen,polo,76
Kolkata,Diesel,Manual,First,5,4.6,24,1120,70,3,hyundai,grand,14
Ahmedabad,Diesel,Manual,First,5,2.95,21.12,1248,88.8,7,tata,manza,47
Bangalore,Petrol,Manual,Second,5,2.22,17.92,1086,62.1,12,hyundai,santro,46
Hyderabad,Diesel,Manual,First,7,10.5,12.99,2494,100,8,toyota,innova,162
Coimbatore,Diesel,Manual,First,5,8.26,28.09,1248,88.5,3,maruti,ciaz,25
Delhi,Petrol,Manual,First,5,4.5,18.9,1197,82,5,hyundai,grand,27
Hyderabad,Petrol,Manual,First,5,6.8,18.16,1196,86.8,2,ford,figo,3
Mumbai,Diesel,Manual,Second,5,7,19.87,1461,83.8,5,renault,duster,67
Chennai,Diesel,Manual,Second,5,2.25,20,1399,68,9,ford,figo,75
Kolkata,Diesel,Manual,First,5,2.75,22.07,1199,73.9,8,volkswagen,polo,52
Jaipur,Diesel,Manual,First,5,3,23.2,1248,73.94,9,maruti,ritz,91
Pune,Diesel,Manual,First,5,3.55,23.08,1461,63.1,7,nissan,micra,60
Jaipur,Petrol,Manual,Second,5,2.32,19.81,1086,68.05,10,hyundai,i10,59
Jaipur,Petrol,Manual,First,7,5.5,16.02,1373,93.7,6,maruti,ertiga,98
Chennai,Diesel,Manual,Second,5,3.2,18.7,1896,66,14,skoda,octavia,72
Pune,Petrol,Manual,First,5,4,18,1198,86.7,5,honda,amaze,79
Chennai,Petrol,Manual,First,5,1.6,17.3,993,60,16,maruti,zen,29
Mumbai,Petrol,Automatic,First,5,4.25,16.5,1198,86.8,6,honda,brio,35
Ahmedabad,Petrol,Manual,First,5,2.6,18.9,998,67.1,9,maruti,wagon,75
Kochi,Petrol,Manual,First,5,2.55,18.6,1199,79.4,8,chevrolet,beat,32
Mumbai,Diesel,Manual,First,5,6.25,22.7,1498,89.84,6,ford,ecosport,79
Hyderabad,Diesel,Manual,Second,5,3.6,17.8,1248,75,10,maruti,swift,86
Mumbai,Petrol,Manual,Second,5,4.8,18.9,1197,82,3,hyundai,grand,8
Hyderabad,Petrol,Manual,First,5,2.3,17.92,1086,62.1,11,hyundai,santro,80
Coimbatore,Petrol,Manual,First,5,4.95,17.6,1496,88.73,7,toyota,etios,27
Ahmedabad,Petrol,Manual,First,5,3.3,22.5,998,67.04,8,maruti,wagon,30
Jaipur,Petrol,Manual,First,5,2.79,23.1,998,67.04,6,maruti,celerio,56
Pune,Petrol,Manual,First,5,2.55,18.6,1199,76.8,6,chevrolet,beat,8
Ahmedabad,Petrol,Manual,Second,4,1,25.4,624,37.5,6,tata,nano,18
Kochi,Petrol,Manual,First,5,6.37,22,1197,81.8,1,maruti,swift,20
Kochi,Petrol,Manual,First,5,5.75,20.4,1197,81.8,3,maruti,swift,31
Mumbai,Petrol,Manual,First,7,6.8,16.02,1373,93.7,6,maruti,ertiga,13
Jaipur,Petrol,Manual,First,7,5.6,16.02,1373,93.7,6,maruti,ertiga,47
Jaipur,Diesel,Manual,First,5,1,17,1405,70,15,tata,indigo,108
Hyderabad,Diesel,Manual,First,5,3.85,19.3,1248,73.9,9,maruti,swift,130
Hyderabad,Diesel,Manual,First,5,3,17.8,1399,67,8,ford,fiesta,107
Mumbai,Petrol,Manual,First,5,5.75,18,1198,86.7,4,honda,amaze,9
Delhi,Diesel,Manual,First,5,6.75,22.54,1396,88.73,6,hyundai,i20,43
Bangalore,Diesel,Manual,Second,7,4.85,18.2,1248,73.8,7,chevrolet,enjoy,64
Mumbai,Diesel,Manual,First,7,9.51,12.99,2494,100,8,toyota,innova,55
Kochi,Petrol,Manual,First,5,3.29,17.7,1497,78,11,honda,city,69
Delhi,Diesel,Manual,First,5,9.5,28.09,1248,88.5,4,maruti,ciaz,41
Pune,Petrol,Manual,Second,5,2.2,17.5,1298,85.8,10,maruti,swift,109
Pune,Diesel,Manual,Second,7,6.75,25.47,1248,88.5,7,maruti,ertiga,105
Chennai,Diesel,Manual,First,5,3.8,23.59,1364,67.04,7,toyota,etios,179
Hyderabad,Diesel,Manual,First,5,6.2,20.14,1498,88.8,5,volkswagen,polo,50
Chennai,Diesel,Manual,First,5,2.3,19.2,1461,65,13,mahindra,renault,35
Jaipur,Diesel,Manual,First,5,5.65,27.3,1498,98.6,5,honda,jazz,63
Kochi,Diesel,Manual,First,5,5.6,25.8,1498,98.6,5,honda,amaze,62
Coimbatore,Diesel,Manual,First,5,7.39,26.59,1248,74,4,maruti,swift,38
Chennai,Petrol,Manual,First,5,4.45,18.6,1197,85.8,7,maruti,swift,49
Jaipur,Diesel,Manual,Second,7,6,15.96,2523,62.1,8,mahindra,bolero,105
Chennai,Diesel,Manual,First,5,5.25,22.9,1248,74,6,maruti,swift,35
Chennai,Petrol,Manual,Third,5,1.5,13.8,1299,70,16,ford,ikon,129
Coimbatore,Diesel,Manual,First,5,8.12,20.14,1498,88,2,volkswagen,polo,33
Coimbatore,Diesel,Manual,First,7,6.12,13.6,2523,63,8,mahindra,bolero,60
Coimbatore,Diesel,Manual,First,5,10.88,25.1,1498,98.6,3,honda,city,45
Kolkata,Petrol,Manual,First,5,3.5,18.2,1199,82.5,6,chevrolet,sail,9
Kochi,Petrol,Manual,First,5,6.15,18.6,1197,81.83,4,hyundai,i20,42
Kolkata,Diesel,Manual,First,7,5.95,20.77,1248,88.76,7,maruti,ertiga,53
Bangalore,Petrol,Manual,First,5,5.75,18.5,1197,80,5,hyundai,i20,59
Ahmedabad,Diesel,Manual,First,5,4.75,20.45,1461,83.8,6,renault,duster,55
Hyderabad,Diesel,Manual,Second,7,3.3,17.21,1493,100,7,mahindra,quanto,80
Hyderabad,Diesel,Manual,First,5,4.39,19.3,1248,73.9,9,maruti,swift,81
Kochi,Diesel,Manual,First,5,6.2,25.2,1248,74,2,maruti,swift,52
Pune,Petrol,Manual,First,8,1.45,19.7,796,35,10,maruti,omni,60
Hyderabad,Diesel,Manual,First,5,6.9,20.45,1461,83.8,6,nissan,terrano,59
Coimbatore,Petrol,Manual,First,5,2.44,14.7,1150,76,10,chevrolet,aveo,64
Kolkata,Diesel,Manual,First,7,1.95,13.6,2523,63,20,mahindra,bolero,124
Mumbai,Petrol,Manual,First,5,4.35,19.1,1197,82,6,hyundai,xcent,7
Hyderabad,Petrol,Manual,First,5,2.9,21.1,814,55.2,5,hyundai,eon,68
Delhi,Diesel,Manual,First,5,2.9,22.07,1199,73.9,7,volkswagen,polo,64
Pune,Diesel,Manual,First,5,8.9,24.3,1248,88.5,4,maruti,vitara,21
Coimbatore,Petrol,Manual,First,5,3.95,21.1,814,55.2,4,hyundai,eon,14
Delhi,Diesel,Manual,First,5,4.65,21.27,1396,88.76,6,hyundai,i20,67
Chennai,Diesel,Manual,First,8,2.9,13.6,2523,63,14,mahindra,bolero,82
Chennai,Petrol,Manual,First,5,1.45,15.9,1298,85,13,maruti,esteem,30
Delhi,Petrol,Manual,Second,5,3.5,17,1197,80,7,hyundai,i20,48
Kochi,Diesel,Manual,First,7,10.79,21.9,1498,98.6,3,honda,br-v,32
Jaipur,Petrol,Manual,First,5,5.12,19.1,1197,81.86,3,hyundai,xcent,28
Mumbai,Petrol,Manual,First,5,5.7,20.89,1197,81.8,3,maruti,ignis,7
Hyderabad,Petrol,Manual,First,5,1.25,13.8,1299,70,13,ford,ikon,92
Kolkata,Petrol,Manual,First,5,2.65,20.36,1197,78.9,7,hyundai,i10,25
Kolkata,Petrol,Manual,Second,5,1.5,18.6,1199,79.4,10,chevrolet,beat,35
Jaipur,Diesel,Manual,First,5,9.75,28.09,1248,88.5,3,maruti,ciaz,36
Chennai,Petrol,Automatic,Third,5,1.96,16.4,1497,78,15,honda,city,100
Bangalore,Petrol,Manual,First,5,2.75,24.07,998,67.1,9,maruti,alto,64
Chennai,Diesel,Manual,First,5,2.8,21.9,1396,90,11,hyundai,i20,47
Jaipur,Diesel,Manual,First,5,4.15,24,1120,70,6,hyundai,grand,64
Pune,Diesel,Manual,Second,5,3.27,23.2,1248,73.94,5,maruti,ritz,65
Pune,Petrol,Manual,First,5,6.3,18.6,1197,81.83,4,hyundai,i20,21
Coimbatore,Diesel,Manual,First,5,11.31,24.3,1248,88.5,3,maruti,vitara,18
